,filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
169,ex1_reno_cbr5mb_simulation8.tr,0.008640365177698077,4.0,0.07487124403801375,reno,5mb,simulation8
170,ex1_tahoe_cbr5mb_simulation8.tr,0.01056279914177257,4.0,0.07542693907601715,tahoe,5mb,simulation8
171,ex1_newreno_cbr5mb_simulation8.tr,0.007921088028695263,4.416666666666667,0.07466314563106798,newreno,5mb,simulation8
172,ex1_vegas_cbr7mb_simulation8.tr,0.0,2.8333333333333335,0.06645066983097762,vegas,7mb,simulation8
173,ex1_reno_cbr7mb_simulation8.tr,0.019689119170984457,2.5,0.07523196009673656,reno,7mb,simulation8
174,ex1_tahoe_cbr7mb_simulation8.tr,0.018779342723004692,2.5,0.07658422478556783,tahoe,7mb,simulation8
175,ex1_newreno_cbr7mb_simulation8.tr,0.018308227114716108,2.8333333333333335,0.07689508523344245,newreno,7mb,simulation8
176,ex1_vegas_cbr8mb_simulation8.tr,0.0,1.9166666666666667,0.06845489721554099,vegas,8mb,simulation8
177,ex1_reno_cbr8mb_simulation8.tr,0.0340780007572889,1.6666666666666667,0.07683694953270985,reno,8mb,simulation8
178,ex1_tahoe_cbr8mb_simulation8.tr,0.036458333333333336,1.8333333333333333,0.07717329060199256,tahoe,8mb,simulation8
179,ex1_newreno_cbr8mb_simulation8.tr,0.033229491173416406,1.8333333333333333,0.07859469224062714,newreno,8mb,simulation8
180,ex1_vegas_cbr1mb_simulation9.tr,0.0,6.5,0.06306759458350612,vegas,1mb,simulation9
181,ex1_reno_cbr1mb_simulation9.tr,0.004380809915589272,6.166666666666667,0.07215335137573355,reno,1mb,simulation9
182,ex1_tahoe_cbr1mb_simulation9.tr,0.004263565891472868,6.833333333333333,0.07393726895418358,tahoe,1mb,simulation9
183,ex1_newreno_cbr1mb_simulation9.tr,0.0037201705834316303,7.25,0.07352968643660665,newreno,1mb,simulation9
184,ex1_vegas_cbr3mb_simulation9.tr,0.0,6.0,0.06377103240075449,vegas,3mb,simulation9
185,ex1_reno_cbr3mb_simulation9.tr,0.004321329639889197,5.916666666666667,0.07604478132736216,reno,3mb,simulation9
186,ex1_tahoe_cbr3mb_simulation9.tr,0.0045496966868875405,5.666666666666667,0.07497594493007165,tahoe,3mb,simulation9
187,ex1_newreno_cbr3mb_simulation9.tr,0.0044277175116227575,6.0,0.07563450384297186,newreno,3mb,simulation9
188,ex1_vegas_cbr5mb_simulation9.tr,0.0,4.583333333333333,0.06653245217392174,vegas,5mb,simulation9
189,ex1_reno_cbr5mb_simulation9.tr,0.008400224005973492,3.5,0.07486819362846521,reno,5mb,simulation9
190,ex1_tahoe_cbr5mb_simulation9.tr,0.00939306358381503,3.5833333333333335,0.07360905666465077,tahoe,5mb,simulation9
191,ex1_newreno_cbr5mb_simulation9.tr,0.006250930197946123,4.416666666666667,0.07501977383086215,newreno,5mb,simulation9
192,ex1_vegas_cbr7mb_simulation9.tr,0.0,2.8333333333333335,0.06912537347174331,vegas,7mb,simulation9
193,ex1_reno_cbr7mb_simulation9.tr,0.014841781013721647,2.3333333333333335,0.07445829098090974,reno,7mb,simulation9
194,ex1_tahoe_cbr7mb_simulation9.tr,0.014783262340265597,2.5833333333333335,0.07646635172212653,tahoe,7mb,simulation9
195,ex1_newreno_cbr7mb_simulation9.tr,0.011739338763775756,2.75,0.07616804895891982,newreno,7mb,simulation9
196,ex1_vegas_cbr8mb_simulation9.tr,0.0,1.9166666666666667,0.07190610427178101,vegas,8mb,simulation9
197,ex1_reno_cbr8mb_simulation9.tr,0.02578341927806426,1.5833333333333333,0.07512152191235066,reno,8mb,simulation9
198,ex1_tahoe_cbr8mb_simulation9.tr,0.02458140363377271,1.8333333333333333,0.07589607002188188,tahoe,8mb,simulation9
199,ex1_newreno_cbr8mb_simulation9.tr,0.023385689354275745,1.8333333333333333,0.0781789600359224,newreno,8mb,simulation9
200,ex1_vegas_cbr1mb_simulation10.tr,0.0,6.583333333333333,0.0630686513137893,vegas,1mb,simulation10
201,ex1_reno_cbr1mb_simulation10.tr,0.004496306605288513,6.166666666666667,0.07208255247994654,reno,1mb,simulation10
202,ex1_tahoe_cbr1mb_simulation10.tr,0.004472097997277854,6.75,0.07365355266955455,tahoe,1mb,simulation10
203,ex1_newreno_cbr1mb_simulation10.tr,0.0040517075053058075,6.833333333333333,0.07447128856028082,newreno,1mb,simulation10
204,ex1_vegas_cbr3mb_simulation10.tr,0.0,6.083333333333333,0.06376022183253212,vegas,3mb,simulation10
